#  Number of backbone atoms:500.0, calc_distances:True, lavg :1.5413478552416318
#  iFrame          Time(ps)     <Ree^2>/nl^2     6.0*<Rg^2>/nl^2      Cn_formula
#===============================================================================
       610        610.000         6.59         6.78          0.00
       611        611.000         3.38         7.53          0.00
       612        612.000        17.61        12.01          0.00
       613        613.000        18.10         9.81          0.00
       614        614.000         3.82         4.85          0.00
       615        615.000         8.41         5.47          0.00
       616        616.000        26.82        16.07          0.00
       617        617.000         3.80         5.38          0.00
       618        618.000        23.10        15.55          0.00
       619        619.000         0.75         2.24          0.00
       620        620.000         3.06         3.19          0.00
       621        621.000        16.46        15.48          0.00
       622        622.000         2.68         2.93          0.00
       623        623.000         7.60         8.54          0.00
       624        624.000         5.41         8.91          0.00
       625        625.000        11.44        10.82          0.00
       626        626.000         6.22         6.76          0.00
       627        627.000        11.28         8.39          0.00
       628        628.000         6.56         6.43          0.00
       629        629.000         4.91         6.10          0.00
       630        630.000        11.74         9.35          0.00
       631        631.000         9.77        11.29          0.00
       632        632.000        11.42         5.37          0.00
       633        633.000         1.78         5.75          0.00
       634        634.000        17.29        13.58          0.00
       635        635.000        11.55         7.72          0.00
       636        636.000         5.59        12.45          0.00
       637        637.000         2.74         4.81          0.00
       638        638.000        14.38        12.01          0.00
       639        639.000         5.87         4.92          0.00
       640        640.000         6.10         6.86          0.00
       641        641.000         2.34         4.12          0.00
       642        642.000        24.74        11.13          0.00
       643        643.000         5.68        10.67          0.00
       644        644.000         2.89         6.96          0.00
       645        645.000        13.70        11.17          0.00
       646        646.000        21.50        13.08          0.00
       647        647.000         1.38         5.72          0.00
       648        648.000        18.46        14.87          0.00
       649        649.000         3.81         3.89          0.00
       650        650.000         2.12         2.83          0.00
       651        651.000         1.39         3.73          0.00
       652        652.000        21.61        13.36          0.00
       653        653.000        17.94        10.66          0.00
       654        654.000         2.69         5.89          0.00
       655        655.000        39.36        32.17          0.00
       656        656.000        11.08        13.18          0.00
       657        657.000         6.02         7.97          0.00
       658        658.000         5.81         5.63          0.00
       659        659.000         3.28         6.11          0.00
       660        660.000         7.80        11.27          0.00
       661        661.000         7.33         6.78          0.00
