#  iFrame          Time(ps)     <Rg^2>(A^2)     stdRg^2(A^2)     <Rg^2>/M(molnm2/kg)
#===================================================================================
       434        434.000       815.30         0.00        1.358
       435        435.000      1926.17         0.00        3.208
       436        436.000      1900.36         0.00        3.165
       437        437.000      3865.49         0.00        6.437
       438        438.000       570.45         0.00        0.950
       439        439.000      1122.94         0.00        1.870
       440        440.000      2408.64         0.00        4.011
       441        441.000      3357.21         0.00        5.591
       442        442.000      2281.95         0.00        3.800
       443        443.000      2153.91         0.00        3.587
       444        444.000      1780.49         0.00        2.965
       445        445.000      1073.67         0.00        1.788
       446        446.000      1297.38         0.00        2.160
       447        447.000      1253.83         0.00        2.088
       448        448.000      3015.60         0.00        5.022
       449        449.000       681.22         0.00        1.134
       450        450.000       844.29         0.00        1.406
       451        451.000      1555.99         0.00        2.591
       452        452.000       686.82         0.00        1.144
       453        453.000       728.62         0.00        1.213
       454        454.000      1546.86         0.00        2.576
       455        455.000      1672.91         0.00        2.786
       456        456.000      2765.39         0.00        4.605
       457        457.000      1201.61         0.00        2.001
       458        458.000       605.59         0.00        1.008
       459        459.000       764.58         0.00        1.273
       460        460.000      1727.50         0.00        2.877
       461        461.000      1195.00         0.00        1.990
       462        462.000      2124.57         0.00        3.538
       463        463.000      2633.42         0.00        4.385
       464        464.000      3132.97         0.00        5.217
       465        465.000       800.99         0.00        1.334
       466        466.000      2666.20         0.00        4.440
       467        467.000      1360.85         0.00        2.266
       468        468.000      1348.11         0.00        2.245
       469        469.000      1083.37         0.00        1.804
       470        470.000      2459.58         0.00        4.096
       471        471.000       713.23         0.00        1.188
       472        472.000      1448.22         0.00        2.412
       473        473.000       686.59         0.00        1.143
       474        474.000       981.39         0.00        1.634
       475        475.000      1056.46         0.00        1.759
       476        476.000      1140.03         0.00        1.898
       477        477.000      1744.38         0.00        2.905
       478        478.000      1475.54         0.00        2.457
       479        479.000      2107.57         0.00        3.510
       480        480.000      2500.75         0.00        4.164
       481        481.000      3384.21         0.00        5.636
       482        482.000      2069.97         0.00        3.447
       483        483.000      2435.08         0.00        4.055
       484        484.000      1760.57         0.00        2.932
       485        485.000      1221.56         0.00        2.034
       486        486.000      2298.55         0.00        3.828
       487        487.000      1036.74         0.00        1.726
       488        488.000      2704.11         0.00        4.503
       489        489.000      2018.71         0.00        3.362
       490        490.000      2009.14         0.00        3.346
       491        491.000       767.01         0.00        1.277
       492        492.000      1455.37         0.00        2.424
       493        493.000      2324.53         0.00        3.871
       494        494.000      2159.16         0.00        3.596
       495        495.000      1489.94         0.00        2.481
       496        496.000      1059.46         0.00        1.764
       497        497.000      1295.50         0.00        2.157
       498        498.000      1874.02         0.00        3.121
       499        499.000      1639.99         0.00        2.731
       500        500.000      2389.32         0.00        3.979
       501        501.000      1407.47         0.00        2.344
       502        502.000      1294.91         0.00        2.156
       503        503.000      1410.89         0.00        2.350
       504        504.000      1820.59         0.00        3.032
       505        505.000       767.99         0.00        1.279
       506        506.000      1419.22         0.00        2.363
       507        507.000      1207.33         0.00        2.011
       508        508.000      1171.17         0.00        1.950
       509        509.000      2127.56         0.00        3.543
       510        510.000      1865.97         0.00        3.107
       511        511.000      3709.23         0.00        6.177
       512        512.000      1056.55         0.00        1.759
       513        513.000      1109.41         0.00        1.847
       514        514.000       925.64         0.00        1.541
       515        515.000      1231.82         0.00        2.051
       516        516.000      2364.81         0.00        3.938
       517        517.000      1179.45         0.00        1.964
       518        518.000      1354.48         0.00        2.256
       519        519.000      1884.96         0.00        3.139
       520        520.000      2526.87         0.00        4.208
       521        521.000      1028.76         0.00        1.713
       522        522.000      1365.30         0.00        2.274
       523        523.000      3891.42         0.00        6.480
       524        524.000       600.05         0.00        0.999
       525        525.000      2786.21         0.00        4.640
       526        526.000      1683.87         0.00        2.804
       527        527.000      1496.64         0.00        2.492
       528        528.000      3101.65         0.00        5.165
       529        529.000      2429.00         0.00        4.045
       530        530.000      1939.73         0.00        3.230
       531        531.000       490.53         0.00        0.817
       532        532.000      1193.92         0.00        1.988
       533        533.000       883.99         0.00        1.472
       534        534.000       606.82         0.00        1.011
       535        535.000       616.66         0.00        1.027
       536        536.000      1625.23         0.00        2.706
       537        537.000      2550.72         0.00        4.248
       538        538.000      1076.06         0.00        1.792
       539        539.000       475.91         0.00        0.793
       540        540.000      1182.58         0.00        1.969
       541        541.000      1259.79         0.00        2.098
       542        542.000      2375.56         0.00        3.956
       543        543.000      1692.77         0.00        2.819
       544        544.000      1922.85         0.00        3.202
       545        545.000       932.59         0.00        1.553
       546        546.000      2672.69         0.00        4.451
       547        547.000      1213.63         0.00        2.021
       548        548.000      2459.05         0.00        4.095
       549        549.000       532.16         0.00        0.886
       550        550.000       834.21         0.00        1.389
       551        551.000      1334.83         0.00        2.223
       552        552.000      1600.14         0.00        2.665
       553        553.000      1239.66         0.00        2.064
       554        554.000      1764.30         0.00        2.938
       555        555.000       375.31         0.00        0.625
       556        556.000      1419.15         0.00        2.363
       557        557.000      1411.43         0.00        2.350
       558        558.000      1361.39         0.00        2.267
       559        559.000      1135.88         0.00        1.892
       560        560.000      2870.58         0.00        4.780
       561        561.000      1552.56         0.00        2.585
       562        562.000      1752.28         0.00        2.918
       563        563.000      1128.47         0.00        1.879
       564        564.000      1732.29         0.00        2.885
       565        565.000      1127.40         0.00        1.877
       566        566.000      2988.28         0.00        4.976
       567        567.000       729.14         0.00        1.214
       568        568.000      1497.30         0.00        2.493
       569        569.000      1364.76         0.00        2.273
       570        570.000      1636.00         0.00        2.724
       571        571.000      2033.45         0.00        3.386
       572        572.000      1654.77         0.00        2.756
       573        573.000      1291.88         0.00        2.151
       574        574.000       743.86         0.00        1.239
       575        575.000      2792.91         0.00        4.651
       576        576.000       750.24         0.00        1.249
       577        577.000      1537.35         0.00        2.560
       578        578.000      2906.01         0.00        4.839
       579        579.000      2002.91         0.00        3.335
       580        580.000      2949.46         0.00        4.912
       581        581.000       590.63         0.00        0.984
       582        582.000      1406.34         0.00        2.342
       583        583.000      3789.19         0.00        6.310
       584        584.000       574.21         0.00        0.956
       585        585.000      1616.25         0.00        2.691
       586        586.000      3248.27         0.00        5.409
       587        587.000      2011.02         0.00        3.349
       588        588.000      2563.49         0.00        4.269
       589        589.000      1794.58         0.00        2.988
       590        590.000       949.79         0.00        1.582
       591        591.000      1430.77         0.00        2.383
       592        592.000      1497.05         0.00        2.493
       593        593.000      1975.73         0.00        3.290
       594        594.000      2824.87         0.00        4.704
       595        595.000      2031.92         0.00        3.384
       596        596.000      3515.16         0.00        5.854
       597        597.000      1497.00         0.00        2.493
       598        598.000      2521.68         0.00        4.199
       599        599.000      1480.82         0.00        2.466
       600        600.000      3547.30         0.00        5.907
       601        601.000      1513.62         0.00        2.521
       602        602.000       816.54         0.00        1.360
       603        603.000      1259.45         0.00        2.097
       604        604.000       591.44         0.00        0.985
       605        605.000      1721.90         0.00        2.867
       606        606.000      2063.97         0.00        3.437
       607        607.000      2312.64         0.00        3.851
