# of segments(n)      <R2>(A^2)/n     <R2>(A^2)/nl2      <R2>(A^2)    Count
# =========================================================================
     428           18.497                7.763         7916.757          144072
     429           18.501                7.765         7936.868          142071
     430           18.505                7.767         7957.098          140070
     431           18.509                7.768         7977.414          138069
     432           18.514                7.770         7997.884          136068
     433           18.518                7.772         8018.440          134067
     434           18.523                7.774         8039.138          132066
     435           18.529                7.777         8059.929          130065
     436           18.534                7.779         8080.877          128064
     437           18.540                7.781         8101.915          126063
     438           18.546                7.784         8123.041          124062
     439           18.552                7.786         8144.280          122061
     440           18.558                7.789         8165.568          120060
     441           18.564                7.792         8186.883          118059
     442           18.571                7.794         8208.274          116058
     443           18.577                7.797         8229.625          114057
     444           18.583                7.800         8251.049          112056
     445           18.590                7.802         8272.483          110055
     446           18.596                7.805         8293.958          108054
     447           18.603                7.808         8315.363          106053
     448           18.609                7.810         8336.813          104052
     449           18.615                7.813         8358.211          102051
     450           18.621                7.816         8379.651          100050
     451           18.628                7.818         8401.076           98049
     452           18.634                7.821         8422.475           96048
     453           18.640                7.823         8443.869           94047
     454           18.646                7.826         8465.344           92046
     455           18.652                7.829         8486.826           90045
     456           18.659                7.831         8508.419           88044
     457           18.665                7.834         8530.012           86043
     458           18.672                7.837         8551.840           84042
     459           18.679                7.840         8573.703           82041
     460           18.686                7.843         8595.663           80040
     461           18.693                7.846         8617.686           78039
     462           18.701                7.849         8639.877           76038
     463           18.708                7.852         8662.025           74037
     464           18.716                7.855         8684.317           72036
     465           18.724                7.859         8706.770           70035
     466           18.733                7.862         8729.439           68034
     467           18.741                7.866         8752.231           66033
     468           18.751                7.870         8775.328           64032
     469           18.761                7.874         8798.744           62031
     470           18.771                7.878         8822.379           60030
     471           18.782                7.883         8846.142           58029
     472           18.793                7.887         8870.062           56028
     473           18.803                7.892         8893.820           54027
     474           18.814                7.896         8917.647           52026
     475           18.825                7.901         8941.679           50025
     476           18.836                7.906         8965.745           48024
     477           18.847                7.910         8989.889           46023
     478           18.857                7.915         9013.829           44022
     479           18.868                7.919         9037.797           42021
     480           18.879                7.924         9061.832           40020
     481           18.890                7.928         9086.100           38019
     482           18.901                7.933         9110.437           36018
     483           18.913                7.938         9134.868           34017
     484           18.925                7.943         9159.543           32016
     485           18.937                7.948         9184.344           30015
     486           18.950                7.954         9209.918           28014
     487           18.964                7.960         9235.592           26013
     488           18.979                7.966         9261.611           24012
     489           18.994                7.972         9288.100           22011
     490           19.010                7.979         9315.017           20010
     491           19.027                7.986         9342.436           18009
     492           19.043                7.993         9369.364           16008
     493           19.059                7.999         9396.325           14007
     494           19.076                8.006         9423.390           12006
     495           19.093                8.013         9450.899           10005
     496           19.108                8.020         9477.510            8004
     497           19.122                8.026         9503.403            6003
     498           19.136                8.032         9529.751            4002
     499           19.145                8.036         9553.575            2001
