 Time Step CPU E_bond E_angle E_dihed E_impro E_pair E_vdwl E_coul E_long E_tail PotEng Temp Press Lx Ly Lz Density
740.000000 740.000000 740000.000000 1821.990400 27492.841830 41540.526434 10586.607840 0.000000 -6548.362919 -10436.743236 14600.387658 -10712.007341 -1134.163449 73071.614440 502.350020 383.543395 5.117319 5.117319 5.117319 710.147640
750.000000 750.000000 750000.000000 1846.580800 26877.328987 42814.072856 10051.516080 0.000000 -7031.050498 -10960.127327 14641.274124 -10712.197294 -1140.452670 72711.865752 502.385830 -111.373623 5.107895 5.107895 5.107895 714.085600
760.000000 760.000000 760000.000000 1871.310000 27076.244715 43117.898200 10460.016318 0.000000 -6625.165678 -10539.270482 14626.011310 -10711.906925 -1137.308311 74028.993136 496.551720 -77.893906 5.112598 5.112598 5.112598 712.116780
770.000000 770.000000 770000.000000 1896.146000 26652.702998 42663.469776 10147.135542 0.000000 -6937.161119 -10847.721657 14622.562439 -10712.001902 -1132.450017 72526.146360 501.502510 -334.743238 5.119899 5.119899 5.119899 709.074780
780.000000 780.000000 780000.000000 1920.790800 26578.006046 42491.482272 10424.357341 0.000000 -6910.257162 -10664.268738 14466.171214 -10712.159638 -1131.337241 72583.588496 502.722040 -450.265553 5.121577 5.121577 5.121577 708.378020
790.000000 790.000000 790000.000000 1945.470400 26860.416004 42279.332552 10262.647414 0.000000 -7087.829051 -10978.743198 14602.875882 -10711.961735 -1144.799804 72314.569848 501.930810 -574.316301 5.101422 5.101422 5.101422 716.807520
800.000000 800.000000 800000.000000 1970.196100 26329.792338 42197.773840 10481.783159 0.000000 -6362.129732 -10273.599453 14623.671618 -10712.201897 -1136.989741 72647.218768 503.557230 744.837167 5.113076 5.113076 5.113076 711.917300
810.000000 810.000000 810000.000000 1994.937300 26832.838423 41997.452288 10125.311798 0.000000 -6510.155050 -10539.354581 14741.258335 -10712.058804 -1141.280266 72445.449552 500.555960 -163.065930 5.106660 5.106660 5.106660 714.603790
820.000000 820.000000 820000.000000 2019.563200 26846.502530 42144.427840 10422.448600 0.000000 -6755.324898 -10571.614894 14528.604862 -10712.314865 -1137.302579 72658.055328 501.368580 -507.423745 5.112607 5.112607 5.112607 712.113180
830.000000 830.000000 830000.000000 2044.172600 27324.568881 42117.574928 10201.560178 0.000000 -6884.647735 -10768.843215 14596.299053 -10712.103573 -1139.171948 72759.052904 502.487290 -664.508055 5.109809 5.109809 5.109809 713.283660
840.000000 840.000000 840000.000000 2068.871400 26610.283932 42663.507432 10129.256474 0.000000 -6724.325223 -10897.383645 14884.919741 -10711.861319 -1132.635034 72678.724288 502.361370 343.042110 5.119620 5.119620 5.119620 709.190630
850.000000 850.000000 850000.000000 2093.755300 27010.027476 42526.288968 10146.973203 0.000000 -6446.332314 -10691.702807 14957.757742 -10712.387248 -1137.532615 73236.957752 500.317820 -400.531119 5.112262 5.112262 5.112262 712.257200
860.000000 860.000000 860000.000000 2118.429200 26899.327204 42417.053096 10493.335183 0.000000 -6790.461711 -10827.192024 14748.699161 -10711.969266 -1130.584623 73019.255864 502.582760 -617.627764 5.122713 5.122713 5.122713 707.906780
870.000000 870.000000 870000.000000 2143.174000 26860.630643 41993.502592 10566.060634 0.000000 -6655.490892 -10541.408925 14597.983113 -10712.065498 -1129.426868 72764.701304 500.859200 471.131592 5.124463 5.124463 5.124463 707.181880
