 Time Density Pressure Temperature Box-X Box-Y Box-Z
2160.0 2160.0 711.6656999999999 -418.6623255675 500.00745 5.1136782 5.1136782 5.1136782
2170.0 2170.0 720.4023000000001 1226.974721175 495.83282 5.0929222 5.0929222 5.0929222
2180.0 2180.0 720.53954 -252.41739495 496.62241 5.0925989000000005 5.0925989000000005 5.0925989000000005
2190.0 2190.0 713.87405 -580.01052291 502.52802 5.108399800000001 5.108399800000001 5.108399800000001
2200.0 2200.0 713.10982 -145.7272362 500.17633 5.1102240000000005 5.1102240000000005 5.1102240000000005
2210.0 2210.0 716.6891800000001 447.94771276499995 496.42829 5.1017025 5.1017025 5.1017025
2220.0 2220.0 711.9297300000001 -126.50557972499999 497.89286 5.113046000000001 5.113046000000001 5.113046000000001
2230.0 2230.0 700.56031 -22.192303838249998 503.65175 5.140557600000001 5.140557600000001 5.140557600000001
2240.0 2240.0 710.76434 108.0505785975 496.97898 5.115839 5.115839 5.115839
2250.0 2250.0 711.60718 -32.8334117685 494.53001 5.1138184 5.1138184 5.1138184
2260.0 2260.0 718.0249699999999 1019.7670213499999 504.56703 5.098536800000001 5.098536800000001 5.098536800000001
2270.0 2270.0 716.1081 105.6866055525 498.98507 5.103082000000001 5.103082000000001 5.103082000000001
2280.0 2280.0 719.78054 -444.7620446325 494.79749 5.0943883 5.0943883 5.0943883
2290.0 2290.0 705.2314600000001 -62.3979270495 501.10797 5.1291829 5.1291829 5.1291829
2300.0 2300.0 710.4446300000001 602.4941857725 498.05116 5.1166062 5.1166062 5.1166062
2310.0 2310.0 703.9311 236.6286801375 504.52071 5.132339300000001 5.132339300000001 5.132339300000001
2320.0 2320.0 715.0337 -733.3600031625 500.31161 5.105636700000001 5.105636700000001 5.105636700000001
2330.0 2330.0 706.99916 347.467844325 499.58096 5.1249045 5.1249045 5.1249045
2340.0 2340.0 714.27953 365.879488485 496.99114 5.1074329 5.1074329 5.1074329
2350.0 2350.0 714.0654400000001 -1033.3796298 503.56355 5.1079433000000005 5.1079433000000005 5.1079433000000005
2360.0 2360.0 704.0750999999999 298.3492637475 496.60365 5.131989300000001 5.131989300000001 5.131989300000001
2370.0 2370.0 712.99919 282.17540247750003 503.25493 5.1104883 5.1104883 5.1104883
2380.0 2380.0 711.32826 -186.60135616499997 503.28133 5.1144867000000005 5.1144867000000005 5.1144867000000005
2390.0 2390.0 709.1801800000001 229.1733487575 500.34727 5.1196454000000005 5.1196453 5.1196454000000005
2400.0 2400.0 708.33258 543.6004683374999 499.58881 5.1216866 5.1216866 5.1216866
2410.0 2410.0 708.2521499999999 407.43008454750003 505.38956 5.1218805000000005 5.1218805000000005 5.1218805000000005
2420.0 2420.0 712.2244599999999 -708.7406828775 499.75197 5.1123406000000005 5.1123406000000005 5.1123406000000005
2430.0 2430.0 710.23873 1108.200137625 505.0188 5.1171006000000006 5.1171006000000006 5.1171006000000006
2440.0 2440.0 703.55589 259.09276701 501.93327 5.1332515 5.1332515 5.1332515
2450.0 2450.0 711.40178 -273.272856255 499.27581 5.1143105 5.1143105 5.1143105
2460.0 2460.0 714.77302 -188.560252125 496.86874 5.1062573 5.1062573 5.1062573
2470.0 2470.0 708.02436 329.98857255 497.30642 5.1224297000000005 5.1224297000000005 5.1224297000000005
2480.0 2480.0 708.46627 -190.57128993 500.11825 5.121364400000001 5.121364400000001 5.121364400000001
2490.0 2490.0 714.9865199999999 931.4439845549999 496.29996 5.105749 5.105749 5.105749
2500.0 2500.0 714.07313 -291.624151245 498.7 5.107925000000001 5.107925000000001 5.107925000000001
2510.0 2510.0 715.56622 -509.46956765249996 495.33648 5.104369800000001 5.104369800000001 5.104369800000001
2520.0 2520.0 714.6153200000001 654.3615818774999 501.81491 5.106632900000001 5.106632900000001 5.106632900000001
2530.0 2530.0 711.94675 -175.61321720249998 493.40058 5.1130052 5.1130052 5.1130052
2540.0 2540.0 704.09144 382.91341662 499.40326 5.1319497 5.1319497 5.1319497
2550.0 2550.0 707.0273900000001 -815.2367637225 497.44953 5.1248363 5.1248363 5.1248363
2560.0 2560.0 703.28913 87.85827219225 499.15377 5.133900400000001 5.133900400000001 5.133900400000001
2570.0 2570.0 710.66913 -132.3862699425 501.56676 5.1160674 5.1160674 5.1160674
2580.0 2580.0 703.63471 -201.219473385 500.24512 5.133059800000001 5.133059800000001 5.133059800000001
2590.0 2590.0 703.6235899999999 -225.45473138999998 499.66239 5.133086800000001 5.133086800000001 5.133086800000001
2600.0 2600.0 709.7825 52.01219054324999 499.67648 5.1181968 5.1181968 5.1181968
2610.0 2610.0 713.6424900000001 228.5607378075 501.48999 5.108952200000001 5.108952200000001 5.108952200000001
2620.0 2620.0 710.2161299999999 -40.77871943775 505.57516 5.1171549 5.1171549 5.1171549
2630.0 2630.0 719.30606 -96.193014393 500.0325 5.0955082 5.0955082 5.0955082
2640.0 2640.0 725.03863 660.78681291 497.24701 5.0820433000000005 5.0820433000000005 5.0820433000000005
2650.0 2650.0 720.10644 -213.72478196999998 503.86881 5.0936196 5.0936196 5.0936196
2660.0 2660.0 721.77766 158.8123467 499.19331 5.0896853 5.0896853 5.0896853
2670.0 2670.0 716.67528 -611.684576055 497.11781 5.1017354 5.1017354 5.1017354
2680.0 2680.0 716.3138799999999 22.998479988750002 496.69233 5.1025933000000006 5.1025933000000006 5.1025933000000006
2690.0 2690.0 711.06563 399.94529799000003 499.05611 5.1151163 5.1151163 5.1151163
2700.0 2700.0 717.25463 -942.0345444825 498.74781 5.100361500000001 5.100361500000001 5.100361500000001
2710.0 2710.0 712.67146 12.64082773275 498.15858 5.111271500000001 5.111271500000001 5.111271500000001
2720.0 2720.0 713.80012 -635.123480355 501.58594 5.1085761000000005 5.1085761000000005 5.1085761000000005
2730.0 2730.0 712.15607 354.48276659249996 498.24462 5.1125043 5.1125043 5.1125043
2740.0 2740.0 718.2602 -184.7599870725 497.07275 5.0979802 5.0979802 5.0979802
2750.0 2750.0 715.72469 -488.89344924 501.14027 5.1039931 5.1039931 5.1039931
2760.0 2760.0 713.02972 -360.24049892249997 500.43594 5.1104153 5.1104153 5.1104153
2770.0 2770.0 705.64717 237.3756075075 504.46305 5.1281754 5.1281754 5.1281754
2780.0 2780.0 700.66925 -97.86054524925 498.49009 5.1402912 5.1402912 5.1402912
2790.0 2790.0 698.3726399999999 -351.0111289125 499.85652 5.1459197 5.1459197 5.1459197
2800.0 2800.0 719.8287799999999 699.1756636725 500.0713 5.094274500000001 5.094274500000001 5.094274500000001
2810.0 2810.0 722.87837 -603.66581688 502.58363 5.087100700000001 5.087100700000001 5.087100700000001
2820.0 2820.0 717.04479 447.57456318749996 500.45745 5.1008589 5.1008589 5.1008589
2830.0 2830.0 715.7427200000001 -182.25093689250002 500.38451 5.1039502 5.1039502 5.1039502
2840.0 2840.0 719.40828 -333.4318898925 503.82174 5.095266800000001 5.095266800000001 5.095266800000001
