# # of beads(n)  # of segments(m)      <Ree2>/m          <Ree2>/n       Ree(ilength)         Count
# -------------  ----------------      --------          --------       ------------         -----
     319           318              0.2098173883E+02  0.2091596536E+02   0.6672192949E+04   2748200
     320           319              0.2098349393E+02  0.2091792051E+02   0.6693734563E+04   2733100
     321           320              0.2098527046E+02  0.2091989578E+02   0.6715286547E+04   2718000
     322           321              0.2098704570E+02  0.2092186854E+02   0.6736841671E+04   2702900
     323           322              0.2098883211E+02  0.2092385121E+02   0.6758403940E+04   2687800
     324           323              0.2099063391E+02  0.2092584801E+02   0.6779974754E+04   2672700
     325           324              0.2099244152E+02  0.2092784939E+02   0.6801551052E+04   2657600
     326           325              0.2099425248E+02  0.2092985293E+02   0.6823132056E+04   2642500
     327           326              0.2099605226E+02  0.2093184415E+02   0.6844713036E+04   2627400
     328           327              0.2099782557E+02  0.2093380780E+02   0.6866288960E+04   2612300
     329           328              0.2099960922E+02  0.2093578062E+02   0.6887871826E+04   2597200
     330           329              0.2100142444E+02  0.2093778376E+02   0.6909468642E+04   2582100
     331           330              0.2100324649E+02  0.2093979257E+02   0.6931071342E+04   2567000
     332           331              0.2100509706E+02  0.2094182870E+02   0.6952687128E+04   2551900
     333           332              0.2100695032E+02  0.2094386638E+02   0.6974307506E+04   2536800
     334           333              0.2100882944E+02  0.2094592876E+02   0.6995940204E+04   2521700
     335           334              0.2101073749E+02  0.2094801887E+02   0.7017586321E+04   2506600
     336           335              0.2101262211E+02  0.2095008454E+02   0.7039228406E+04   2491500
     337           336              0.2101454471E+02  0.2095218701E+02   0.7060887023E+04   2476400
     338           337              0.2101649499E+02  0.2095431601E+02   0.7082558812E+04   2461300
     339           338              0.2101846528E+02  0.2095646391E+02   0.7104241265E+04   2446200
     340           339              0.2102043071E+02  0.2095860591E+02   0.7125926009E+04   2431100
     341           340              0.2102238679E+02  0.2096073756E+02   0.7147611507E+04   2416000
     342           341              0.2102436673E+02  0.2096289197E+02   0.7169309055E+04   2400900
     343           342              0.2102632921E+02  0.2096502796E+02   0.7191004591E+04   2385800
     344           343              0.2102833612E+02  0.2096720724E+02   0.7212719289E+04   2370700
     345           344              0.2103034098E+02  0.2096938347E+02   0.7234437298E+04   2355600
     346           345              0.2103238298E+02  0.2097159574E+02   0.7256172127E+04   2340500
     347           346              0.2103445870E+02  0.2097384067E+02   0.7277922711E+04   2325400
     348           347              0.2103656976E+02  0.2097611985E+02   0.7299689708E+04   2310300
     349           348              0.2103873002E+02  0.2097844712E+02   0.7321478047E+04   2295200
     350           349              0.2104092654E+02  0.2098080960E+02   0.7343283361E+04   2280100
