# # of beads(n)  # of segments(m)      <Ree2>/m          <Ree2>/n       Ree(ilength)         Count
# -------------  ----------------      --------          --------       ------------         -----
     289           288              0.2097249538E+02  0.2089992619E+02   0.6040078669E+04   3180000
     290           289              0.2097451800E+02  0.2090219207E+02   0.6061635701E+04   3165000
     291           290              0.2097651383E+02  0.2090442959E+02   0.6083189012E+04   3150000
     292           291              0.2097849977E+02  0.2090665560E+02   0.6104743434E+04   3135000
     293           292              0.2098046206E+02  0.2090885639E+02   0.6126294922E+04   3120000
     294           293              0.2098241051E+02  0.2091104177E+02   0.6147846281E+04   3105000
     295           294              0.2098434349E+02  0.2091321013E+02   0.6169396987E+04   3090000
     296           295              0.2098623797E+02  0.2091533852E+02   0.6190940201E+04   3075000
     297           296              0.2098812281E+02  0.2091745573E+02   0.6212484353E+04   3060000
     298           297              0.2098995483E+02  0.2091951874E+02   0.6234016586E+04   3045000
     299           298              0.2099175627E+02  0.2092154972E+02   0.6255543368E+04   3030000
     300           299              0.2099350897E+02  0.2092353061E+02   0.6277059183E+04   3015000
     301           300              0.2099523083E+02  0.2092547924E+02   0.6298569250E+04   3000000
     302           301              0.2099691319E+02  0.2092738699E+02   0.6320070870E+04   2985000
     303           302              0.2099856487E+02  0.2092926267E+02   0.6341566590E+04   2970000
     304           303              0.2100015642E+02  0.2093107696E+02   0.6363047395E+04   2955000
     305           304              0.2100169191E+02  0.2093283390E+02   0.6384514341E+04   2940000
     306           305              0.2100317904E+02  0.2093454120E+02   0.6405969606E+04   2925000
     307           306              0.2100463739E+02  0.2093621838E+02   0.6427419042E+04   2910000
     308           307              0.2100609276E+02  0.2093789116E+02   0.6448870477E+04   2895000
     309           308              0.2100755818E+02  0.2093957255E+02   0.6470327919E+04   2880000
     310           309              0.2100908191E+02  0.2094131068E+02   0.6491806310E+04   2865000
     311           310              0.2101062276E+02  0.2094306449E+02   0.6513293055E+04   2850000
     312           311              0.2101221789E+02  0.2094487104E+02   0.6534799764E+04   2835000
     313           312              0.2101382539E+02  0.2094668857E+02   0.6556313523E+04   2820000
     314           313              0.2101550218E+02  0.2094857383E+02   0.6577852182E+04   2805000
     315           314              0.2101721499E+02  0.2095049368E+02   0.6599405508E+04   2790000
     316           315              0.2101895328E+02  0.2095243761E+02   0.6620970284E+04   2775000
     317           316              0.2102068873E+02  0.2095437741E+02   0.6642537639E+04   2760000
     318           317              0.2102246580E+02  0.2095635741E+02   0.6664121657E+04   2745000
     319           318              0.2102423614E+02  0.2095832945E+02   0.6685707094E+04   2730000
     320           319              0.2102600005E+02  0.2096029380E+02   0.6707294015E+04   2715000
     321           320              0.2102778544E+02  0.2096227832E+02   0.6728891340E+04   2700000
     322           321              0.2102956901E+02  0.2096425979E+02   0.6750491652E+04   2685000
     323           322              0.2103136362E+02  0.2096625104E+02   0.6772099087E+04   2670000
     324           323              0.2103317309E+02  0.2096825589E+02   0.6793714907E+04   2655000
     325           324              0.2103499021E+02  0.2097026717E+02   0.6815336829E+04   2640000
     326           325              0.2103680930E+02  0.2097227921E+02   0.6836963022E+04   2625000
